Dataset,Method,Mean_Test_Score,Std_Test_Score,Mean_Num_Features,Mean_Runtime
mimic,No Processing,0.812161681728079,0.006953542589539349,67.0,0.13773269653320314
mimic,PCA,0.7682920267643794,0.014672672857852544,33.0,0.32868103981018065
mimic,RFE,0.8035056005231045,0.009405706664794771,20.0,2.8895092487335203
mimic,GRACE,0.7981217688956592,0.011771897855179719,18.4,122.92498044967651
